Item,Group,MainCond,Condition,ContextAudioFile,ContextImageFile,AudioFile,ImageFile
A,1,Practice,Practice,A_01.wav,A_1.jpg,A_02.wav,A_2.jpg
B,1,Practice,Practice,B_01.wav,B_1.jpg,B_02.wav,B_2.jpg
C,1,Practice,Practice,C_01.wav,C_1.jpg,C_02.wav,C_2.jpg
D,1,Practice,Practice,D_01.wav,D_1.jpg,D_02.wav,D_2.jpg
1,1,Critical,OnlyExist,01_01.wav,G1_01_01.jpg,01_02.wav,G1_01_02.jpg
2,1,Filler,FSomeAction,02_01.wav,G1_02_01.jpg,02_02.wav,G1_02_02.jpg
3,1,Critical,NoAction,03_01.wav,G1_03_01.jpg,03_02.wav,G1_03_02.jpg
4,1,Critical,FalseControl,04_01.wav,G1_04_01.jpg,04_02.wav,G1_04_02.jpg
5,1,Filler,FAllAction,05_01.wav,G1_05_01.jpg,05_02.wav,G1_05_02.jpg
6,1,Critical,TrueControl,06_01.wav,G1_06_01.jpg,06_02.wav,G1_06_02.jpg
7,1,Filler,FNoneAction,07_01.wav,G1_07_01.jpg,07_02.wav,G1_07_02.jpg
8,1,Critical,OnlyExist,08_01.wav,G1_08_01.jpg,08_02.wav,G1_08_02.jpg
9,1,Filler,FSomeAction,09_01.wav,G1_09_01.jpg,09_02.wav,G1_09_02.jpg
10,1,Critical,NoAction,10_01.wav,G1_10_01.jpg,10_02.wav,G1_10_02.jpg
11,1,Critical,FalseControl,11_01.wav,G1_11_01.jpg,11_02.wav,G1_11_02.jpg
12,1,Filler,FAllAction,12_01.wav,G1_12_01.jpg,12_02.wav,G1_12_02.jpg
13,1,Critical,TrueControl,13_01.wav,G1_13_01.jpg,13_02.wav,G1_13_02.jpg
14,1,Filler,FNoneAction,14_01.wav,G1_14_01.jpg,14_02.wav,G1_14_02.jpg
15,1,Critical,OnlyExist,15_01.wav,G1_15_01.jpg,15_02.wav,G1_15_02.jpg
16,1,Filler,FSomeAction,16_01.wav,G1_16_01.jpg,16_02.wav,G1_16_02.jpg
17,1,Critical,NoAction,17_01.wav,G1_17_01.jpg,17_02.wav,G1_17_02.jpg
18,1,Critical,FalseControl,18_01.wav,G1_18_01.jpg,18_02.wav,G1_18_02.jpg
19,1,Filler,FAllAction,19_01.wav,G1_19_01.jpg,19_02.wav,G1_19_02.jpg
20,1,Critical,TrueControl,20_01.wav,G1_20_01.jpg,20_02.wav,G1_20_02.jpg
21,1,Critical,OnlyExist,21_01.wav,G1_21_01.jpg,21_02.wav,G1_21_02.jpg
22,1,Filler,FNoneAction,22_01.wav,G1_22_01.jpg,22_02.wav,G1_22_02.jpg
23,1,Critical,NoAction,23_01.wav,G1_23_01.jpg,23_02.wav,G1_23_02.jpg
24,1,Filler,FSomeAction,24_01.wav,G1_24_01.jpg,24_02.wav,G1_24_02.jpg
